,data_num,part1_patient_mean,part1_slope,part1_std,week,Delta1,Omicron1,policy1,policy2,label
774,275.0,455.95238095238096,0.020553221288515403,0.14625930342278434,3.0,0.0,0.0,1.9285714285714286,2.5,2.0
465,544.0,1707.6666666666667,0.0024350649350649346,0.3105163122096555,6.0,442.3809523809524,0.0,3.0,3.0,1.0
230,939.0,35405.19047619047,-0.026367039877841433,0.22557288853490365,2.0,0.0,233.95238095238096,1.0,1.0,0.0
224,317.0,623.5714285714286,-0.03983951891901681,0.2796680080153132,3.0,0.0,0.0,2.5,2.5,0.0
758,629.0,2881.714285714286,0.01995980494418281,0.14027403712216685,0.0,434.04761904761904,0.0,1.0,1.0,2.0
298,141.0,19.333333333333332,-0.009054834054834052,0.2502056767110534,2.0,0.0,0.0,1.0,1.0,0.0
177,199.0,115.47619047619048,-0.025076741440377803,0.2120139906295325,4.0,0.0,0.0,2.238095238095238,2.0,0.0
829,865.0,33485.42857142857,0.0278694554674518,0.19522099851579372,5.0,0.0,95.0,1.0,1.0,2.0
82,184.0,251.14285714285714,-0.029498106060606058,0.230456664163872,3.0,0.0,0.0,2.261904761904762,2.142857142857143,0.0
843,247.0,92.28571428571429,0.0009422753902249157,0.072795807738359,3.0,0.0,0.0,1.0,1.3214285714285714,2.0
662,230.0,66.42857142857143,0.0068831168831168825,0.24051135999306622,0.0,0.0,0.0,1.3333333333333333,1.0,2.0
922,694.0,8925.142857142857,0.015309031424362787,0.10196648325647643,2.0,108.47619047619048,773.5714285714286,3.0,3.0,2.0
734,280.0,570.0,0.02439444613357657,0.18413354901980059,1.0,0.0,0.0,2.1666666666666665,2.5,2.0
904,704.0,24556.238095238095,0.014259696686576654,0.0927796933584964,5.0,18.476190476190474,766.1904761904761,3.0,3.0,2.0
535,338.0,372.3333333333333,-0.010174488088598518,0.21233184080323816,3.0,0.0,0.0,2.5,2.142857142857143,1.0
202,316.0,654.6190476190476,-0.040809055809055805,0.28383155202551885,2.0,0.0,0.0,2.5,2.5,0.0
746,840.0,7576.142857142857,-0.01189969407820608,0.14997133589379957,1.0,0.0,273.9047619047619,1.0,1.0,2.0
772,488.0,712.9047619047619,0.028577885182998815,0.20583691404847013,6.0,83.52380952380952,0.0,1.5238095238095237,2.857142857142857,2.0
510,523.0,1593.6666666666667,0.025278946405706968,0.2700343138081465,6.0,384.0,0.0,3.0,3.0,1.0
473,408.0,589.2380952380952,0.017989107666527022,0.2584853519478368,3.0,0.0,0.0,2.0,2.0,1.0
39,17.0,152.71428571428572,-0.03485662851999485,0.2774815972332481,4.0,0.0,0.0,2.238095238095238,3.0,0.0
841,75.0,12.476190476190476,0.008976317799847212,0.14914832086905633,6.0,0.0,0.0,1.1428571428571428,1.0,2.0
802,729.0,162126.09523809524,0.014989256394526156,0.10646011818958531,2.0,0.09523809523809523,151.04761904761904,3.0,2.857142857142857,2.0
866,256.0,142.95238095238096,0.018266210323972052,0.13228039338635106,5.0,0.0,0.0,1.0476190476190477,1.8928571428571428,2.0
533,889.0,102870.76190476191,0.012666668115663594,0.2111717861866833,1.0,0.0,16.095238095238095,1.0,1.0,1.0
368,670.0,4749.571428571428,-0.0351917823312211,0.2715617052425922,6.0,602.4285714285714,102.28571428571429,3.0,3.0,1.0
462,291.0,849.5238095238095,0.0417960088691796,0.3130670862373011,5.0,0.0,0.0,2.4285714285714284,2.5,1.0
95,193.0,163.0952380952381,-0.031196172248803822,0.22476390201499338,5.0,0.0,0.0,2.357142857142857,2.0,0.0
113,195.0,143.42857142857142,-0.029435347261434215,0.2176718686418979,0.0,0.0,0.0,2.3333333333333335,2.0,0.0
108,786.0,74510.09523809524,-0.032888300385562154,0.25076969343881433,3.0,0.0,297.4761904761905,1.1904761904761905,1.0,0.0
786,479.0,509.0952380952381,0.008690588834704124,0.09542644290971083,4.0,23.0,0.0,1.9523809523809523,1.5714285714285714,2.0
51,776.0,143835.61904761905,-0.031981668458519394,0.25310505998859406,0.0,0.0,369.57142857142856,1.6666666666666667,1.0,0.0
435,532.0,1695.2380952380952,0.007877132927434735,0.260348665205903,1.0,405.23809523809524,0.0,3.0,3.0,1.0
595,594.0,1588.7142857142858,-0.019100116301608835,0.2093672959894691,0.0,418.23809523809524,0.0,3.0,2.0,1.0
375,412.0,624.047619047619,0.021231671554252197,0.28848428071390286,0.0,0.0,0.0,2.0,2.0,1.0
268,749.0,349244.2380952381,0.0005043499475684152,0.17881377968349904,1.0,0.047619047619047616,115.14285714285714,2.619047619047619,2.0,0.0
801,485.0,602.4761904761905,0.015831611570247935,0.13012162599054417,3.0,60.095238095238095,0.0,1.6666666666666667,2.4285714285714284,2.0
542,551.0,1699.3809523809523,0.004791384623757593,0.12716004585237953,6.0,497.95238095238096,0.0,3.0,3.0,1.0
315,295.0,924.0,0.018173660510343925,0.20517502402848345,2.0,0.0,0.0,2.5,2.5,0.0
498,947.0,24720.238095238095,-0.017457850152150664,0.2407142574959322,3.0,0.0,356.6190476190476,1.0,1.0,1.0
678,227.0,61.57142857142857,0.004948051948051948,0.17954307083737397,4.0,0.0,0.0,1.4761904761904763,1.0,2.0
608,561.0,1770.142857142857,0.0015537665087691568,0.12001506936678982,2.0,471.5238095238095,0.0,3.0,3.0,1.0
836,864.0,30681.0,0.026245691618992085,0.18711906647013646,4.0,0.0,94.9047619047619,1.0,1.0,2.0
609,398.0,500.0952380952381,0.030910911518388148,0.23113831275416205,0.0,0.0,0.0,2.0,2.0,1.0
358,893.0,112807.90476190476,0.022475133086430548,0.26944628373409957,5.0,0.0,13.047619047619047,1.0,1.0,1.0
192,202.0,102.0952380952381,-0.023696593261810648,0.22308844884180187,0.0,0.0,0.0,2.1666666666666665,2.0,0.0
521,336.0,374.0952380952381,-0.006987491036570792,0.19952308856885362,1.0,0.0,0.0,2.5,2.2142857142857144,1.0
83,185.0,244.66666666666666,-0.03233225108225108,0.2383080491153166,4.0,0.0,0.0,2.2857142857142856,2.107142857142857,0.0
182,314.0,706.8571428571429,-0.0383953581432573,0.28119199579605686,0.0,0.0,0.0,2.5,2.5,0.0
157,308.0,851.0,-0.026975798895887682,0.22320525107771774,1.0,0.0,0.0,2.5,2.5,0.0
890,710.0,41185.90476190476,0.016871213329883877,0.11166108984192472,4.0,3.761904761904762,518.4761904761905,3.0,3.0,2.0
877,252.0,110.0,0.008361993737487809,0.073776585583052,1.0,0.0,0.0,1.0,1.6785714285714286,2.0
76,186.0,237.33333333333334,-0.032545319264069256,0.23896451635176189,5.0,0.0,0.0,2.3095238095238093,2.0714285714285716,0.0
760,632.0,3144.6666666666665,0.01677529933264271,0.13381501113656494,3.0,449.9047619047619,0.6190476190476191,1.0,1.0,2.0
126,196.0,134.71428571428572,-0.028554488989271595,0.21168664136993995,1.0,0.0,0.0,2.3095238095238093,2.0,0.0
652,598.0,1533.142857142857,-0.005611552626477999,0.198646217913415,4.0,397.14285714285717,0.0,3.0,1.4285714285714286,2.0
410,351.0,393.4761904761905,0.009732292247629669,0.28461004620230856,2.0,0.0,0.0,2.2857142857142856,2.0,1.0
859,717.0,75657.47619047618,0.019098634097491542,0.13059622816384997,4.0,0.8095238095238095,353.0952380952381,3.0,3.0,2.0
283,830.0,9967.57142857143,-0.02228130484221873,0.257208033793358,5.0,0.0,376.85714285714283,1.0,1.0,0.0
133,788.0,64735.76190476191,-0.033829069172905034,0.27056624954392466,5.0,0.0,306.9047619047619,1.0952380952380953,1.0,0.0
427,439.0,580.9047619047619,0.011561708731520052,0.25073544914541923,6.0,1.3333333333333333,0.0,2.0,2.0,1.0
849,724.0,119200.71428571429,0.013292737085036357,0.09008262510794098,4.0,0.14285714285714285,153.1904761904762,3.0,3.0,2.0
618,564.0,1780.6666666666667,0.007662268911607179,0.13825668012241998,5.0,477.2857142857143,0.0,3.0,3.0,1.0
429,539.0,1738.142857142857,-0.011027901538850433,0.30801523573616546,1.0,424.23809523809524,0.0,3.0,3.0,1.0
272,174.0,230.42857142857142,0.040979164720171914,0.29779554879823467,0.0,0.0,0.0,1.7380952380952381,2.5,0.0
392,444.0,584.8571428571429,0.003904271828800127,0.2551267875714488,4.0,1.5714285714285714,0.0,2.0,2.0,1.0
773,277.0,489.42857142857144,0.01801542207792207,0.12723759908935647,5.0,0.0,0.0,2.0238095238095237,2.5,2.0
345,213.0,70.33333333333333,-0.016671700392630624,0.29005354994418914,4.0,0.0,0.0,2.0,1.2142857142857142,1.0
878,681.0,3798.7619047619046,5.4677429381847776e-06,0.04062624994486347,3.0,368.4761904761905,382.57142857142856,3.0,3.0,2.0
847,77.0,13.761904761904763,0.005061115355233002,0.13942733546583677,1.0,0.0,0.0,1.0476190476190477,1.0,2.0
516,374.0,399.7142857142857,0.01716906946264744,0.2193847460854165,4.0,0.0,0.0,2.0,2.0,1.0
551,888.0,101625.90476190476,0.022149342525229876,0.21666497901881926,0.0,0.0,15.904761904761905,1.0,1.0,1.0
139,799.0,39058.42857142857,-0.020585765104141007,0.20446054693407623,2.0,0.0,412.1904761904762,1.0,1.0,0.0
935,162.0,58.23809523809524,0.023183776780064478,0.18644810757971314,2.0,0.0,0.0,1.1428571428571428,2.107142857142857,2.0
945,152.0,16.0,-0.0012903762903762903,0.03230667479065168,6.0,0.0,0.0,1.0,1.5,2.0
856,258.0,165.14285714285714,0.024192414084110825,0.1644208020419145,0.0,0.0,0.0,1.0952380952380953,1.9642857142857142,2.0
167,918.0,78257.61904761905,-0.02744561224957698,0.23637779211043727,2.0,0.0,39.476190476190474,1.0,1.0,0.0
733,168.0,142.95238095238096,0.0457265087853323,0.3072057130654572,1.0,0.0,0.0,1.4285714285714286,2.3214285714285716,2.0
685,611.0,1872.047619047619,0.015077833125778328,0.14684005335360006,3.0,358.42857142857144,0.0,2.0476190476190474,1.0,2.0
426,440.0,580.1904761904761,0.011300334885240548,0.25082558008810985,0.0,1.3333333333333333,0.0,2.0,2.0,1.0
865,716.0,68651.57142857143,0.016768367621466867,0.11445265745353148,3.0,1.0952380952380953,378.95238095238096,3.0,3.0,2.0
730,623.0,2449.285714285714,0.013968053818680649,0.1327985977588611,1.0,408.6190476190476,0.0,1.0,1.0,2.0
60,20.0,96.42857142857143,-0.02713630906908218,0.23847849482600472,0.0,0.0,0.0,2.380952380952381,3.0,0.0
519,522.0,1580.047619047619,0.0217630458073114,0.26307654265050007,5.0,378.6666666666667,0.0,3.0,3.0,1.0
386,411.0,619.8095238095239,0.026811897779639715,0.29849190669732995,6.0,0.0,0.0,2.0,2.0,1.0
397,422.0,617.0952380952381,-0.012371838687628155,0.2905699424754072,3.0,0.2857142857142857,0.0,2.0,2.0,1.0
455,429.0,591.5238095238095,-0.02571669816251859,0.31759427658140593,3.0,0.8571428571428571,0.0,2.0,2.0,1.0
203,907.0,109381.23809523809,-0.013603805665087003,0.23613544607914988,5.0,0.0,25.0,1.0,1.0,0.0
695,238.0,77.85714285714286,0.012849402253375762,0.1688584035526695,1.0,0.0,0.0,1.0,1.0,2.0
33,2.0,365.3333333333333,0.013046639810357613,0.25289941300804497,3.0,0.0,0.0,1.5714285714285714,2.2857142857142856,0.0
120,927.0,57255.142857142855,-0.026395535591870314,0.2709007653633858,4.0,0.0,68.0,1.0,1.0,0.0
626,395.0,472.14285714285717,0.024086850649350643,0.21418742191153317,4.0,0.0,0.0,2.0,2.0,1.0
219,902.0,118337.19047619047,-0.00519752689104137,0.23624036829093956,0.0,0.0,24.38095238095238,1.0,1.0,0.0
327,454.0,574.2857142857143,0.003456332027760598,0.23081937486754206,0.0,1.5714285714285714,0.0,2.0,2.0,1.0
211,135.0,23.904761904761905,-0.029023150762281187,0.25003825434209176,3.0,0.0,0.0,1.0,1.0,0.0
864,248.0,93.42857142857143,0.001837688003695908,0.0479246828916891,4.0,0.0,0.0,1.0,1.3928571428571428,2.0
119,787.0,69456.38095238095,-0.033831698503554344,0.2666417599709203,4.0,0.0,303.14285714285717,1.1428571428571428,1.0,0.0
278,748.0,350361.71428571426,0.008875283605306079,0.18812075886478571,0.0,0.047619047619047616,117.42857142857143,2.6666666666666665,2.0,0.0
258,582.0,2112.7619047619046,-0.019929482282423455,0.23254405358028346,2.0,463.1904761904762,0.0,3.0,3.0,0.0
540,508.0,1432.5238095238096,0.015741797517930728,0.18964883869207297,5.0,275.8095238095238,0.0,2.8095238095238093,3.0,1.0
194,938.0,37343.380952380954,-0.02645838284015594,0.22592931317370532,1.0,0.0,222.33333333333334,1.0,1.0,0.0
599,383.0,421.42857142857144,0.003006323122941192,0.13160471092474899,6.0,0.0,0.0,2.0,2.0,1.0
846,73.0,11.095238095238095,0.012127578304048888,0.1563190858967241,4.0,0.0,0.0,1.2380952380952381,1.0,2.0
693,881.0,81830.61904761905,0.018276172882400105,0.16830655284339413,0.0,0.0,31.285714285714285,1.0,1.0,2.0
920,685.0,4238.047619047619,0.004879126919097808,0.03869487962476777,0.0,288.57142857142856,552.1428571428571,3.0,3.0,2.0
143,790.0,58963.619047619046,-0.02945549520881567,0.25231756703207187,0.0,0.0,345.14285714285717,1.0,1.0,0.0
852,679.0,3792.285714285714,-0.0028724059445708926,0.04724926779129638,1.0,410.85714285714283,307.95238095238096,3.0,3.0,2.0
514,344.0,374.5238095238095,-0.012054816349294874,0.2263953705264199,2.0,0.0,0.0,2.4523809523809526,2.0,1.0
488,92.0,31.142857142857142,0.02272727272727272,0.27098521719741053,2.0,0.0,0.0,1.0,1.0,1.0
233,126.0,29.095238095238095,-0.005541125541125539,0.2047467284478844,1.0,0.0,0.0,1.0,1.0,0.0
926,695.0,9691.809523809523,0.010298678385992875,0.06735773785573813,3.0,92.33333333333333,784.7142857142857,3.0,3.0,2.0
552,403.0,552.5238095238095,0.030189810189810182,0.24658565097349386,5.0,0.0,0.0,2.0,2.0,1.0
744,475.0,488.1904761904762,0.0027644339708148267,0.09678878642217212,0.0,11.142857142857142,0.0,2.0,1.2142857142857142,2.0
484,545.0,1694.0,-0.0008821986094713352,0.3175343139033494,0.0,448.0,0.0,3.0,3.0,1.0
517,341.0,377.0,-0.008823998087801765,0.21776764754137898,6.0,0.0,0.0,2.5,2.0357142857142856,1.0
391,107.0,34.38095238095238,-0.01818181818181818,0.2504504095092815,3.0,0.0,0.0,1.0,1.0,1.0
171,311.0,789.4285714285714,-0.03545699583435433,0.25026124441467684,4.0,0.0,0.0,2.5,2.5,0.0
0,46.0,14.095238095238095,-0.030262190639549123,0.2244335270011532,5.0,0.0,0.0,2.761904761904762,1.7857142857142858,0.0
704,473.0,492.23809523809524,-0.004297443579271654,0.11547506361330291,5.0,8.333333333333334,0.0,2.0,1.3571428571428572,2.0
867,680.0,3791.5714285714284,-0.0027648704979779445,0.04479718545582837,2.0,389.5238095238095,350.0,3.0,3.0,2.0
184,313.0,728.0952380952381,-0.038606351631561696,0.2820499855707683,6.0,0.0,0.0,2.5,2.5,0.0
253,581.0,2130.095238095238,-0.01244578950461303,0.22261440513598516,1.0,458.76190476190476,0.0,3.0,3.0,0.0
729,839.0,7656.619047619048,-0.00628667743000997,0.14291427397918235,0.0,0.0,291.6666666666667,1.0,1.0,2.0
613,556.0,1708.904761904762,0.00392331607627574,0.12456954427454518,4.0,495.8095238095238,0.0,3.0,3.0,1.0
761,278.0,516.4285714285714,0.02203733766233766,0.15779533440353619,6.0,0.0,0.0,2.0714285714285716,2.5,2.0
944,151.0,15.095238095238095,-0.001723276723276723,0.030774317853793795,5.0,0.0,0.0,1.0,1.4285714285714286,2.0
388,434.0,589.0,0.0029056996416046877,0.2640882871828428,1.0,1.4285714285714286,0.0,2.0,2.0,1.0
753,628.0,2801.4285714285716,0.01893010499884236,0.1360399667832782,6.0,430.95238095238096,0.0,1.0,1.0,2.0
615,560.0,1752.7142857142858,0.005072350384031893,0.12879577448621418,1.0,476.2857142857143,0.0,3.0,3.0,1.0
225,122.0,30.80952380952381,0.005165945165945167,0.21379799484202722,4.0,0.0,0.0,1.0,1.0,0.0
522,217.0,64.23809523809524,-0.008819875776397512,0.19815605089397628,1.0,0.0,0.0,1.9523809523809523,1.0,1.0
98,759.0,310809.71428571426,-0.01746734748238141,0.1957202211557397,4.0,0.0,136.71428571428572,2.142857142857143,1.7142857142857142,0.0
727,239.0,76.76190476190476,0.008695652173913044,0.16382574552381687,2.0,0.0,0.0,1.0,1.0,2.0
575,514.0,1463.5238095238096,0.0038947973555619447,0.2011545753622248,4.0,333.4761904761905,0.0,3.0,3.0,1.0
493,524.0,1609.1904761904761,0.024828189918733184,0.2690287606189692,0.0,384.04761904761904,0.0,3.0,3.0,1.0
100,925.0,62542.52380952381,-0.02816563501018638,0.27338513984894874,2.0,0.0,35.095238095238095,1.0,1.0,0.0
447,568.0,1992.3809523809523,0.018082888481661483,0.2196988248472153,2.0,480.2857142857143,0.0,3.0,3.0,1.0
530,467.0,515.7619047619048,-0.012192717996289421,0.23362113534988044,6.0,3.238095238095238,0.0,2.0,1.7857142857142858,1.0
587,469.0,507.2857142857143,-0.026637871057513907,0.2554113239936676,1.0,3.761904761904762,0.0,2.0,1.6428571428571428,1.0
267,829.0,10415.47619047619,-0.025502283126460693,0.27237424759953843,4.0,0.0,385.4761904761905,1.0,1.0,0.0
381,649.0,5773.857142857143,0.04073914472089502,0.30103814767817866,6.0,589.4285714285714,8.571428571428571,1.0952380952380953,3.0,1.0
568,513.0,1455.8095238095239,-0.0009158849199090637,0.19387720122106192,3.0,323.14285714285717,0.0,3.0,3.0,1.0
570,380.0,412.42857142857144,0.00041138985238364144,0.12938266674364546,3.0,0.0,0.0,2.0,2.0,1.0
924,686.0,4436.523809523809,0.005440760884975183,0.041683885586840316,1.0,262.9047619047619,600.4285714285714,3.0,3.0,2.0
817,54.0,5.285714285714286,-0.01894312583967756,0.13450170385690688,6.0,0.0,0.0,2.380952380952381,1.2142857142857142,2.0
101,817.0,18890.571428571428,-0.027573547249761438,0.24806979174337399,6.0,0.0,497.8095238095238,1.0,1.0,0.0
170,197.0,126.57142857142857,-0.0279785431959345,0.20794507885402275,2.0,0.0,0.0,2.2857142857142856,2.0,0.0
131,756.0,339699.38095238095,-0.01779174254817914,0.18693092314753168,1.0,0.0,108.04761904761905,2.2857142857142856,1.9285714285714286,0.0
513,339.0,376.42857142857144,-0.006023424428332405,0.2215853157483693,4.0,0.0,0.0,2.5,2.107142857142857,1.0
158,305.0,915.1904761904761,-0.016702941897170528,0.17525095929412113,5.0,0.0,0.0,2.5,2.5,0.0
238,49.0,9.333333333333334,-0.031706224809673084,0.21980786479037082,1.0,0.0,0.0,2.619047619047619,1.5714285714285714,0.0
248,298.0,971.8571428571429,0.005096913137114144,0.14935029582736947,5.0,0.0,0.0,2.5,2.5,0.0
495,550.0,1699.1904761904761,0.005597643097643099,0.2246803893382574,5.0,484.95238095238096,0.0,3.0,3.0,1.0
709,493.0,919.1904761904761,0.036501202501202486,0.25571746015178776,4.0,128.47619047619048,0.0,1.6666666666666667,3.0,2.0
663,599.0,1530.857142857143,0.004293467726303547,0.19589841324115542,5.0,399.8095238095238,0.0,3.0,1.2857142857142858,2.0
895,683.0,3948.714285714286,0.003918517223290784,0.0417800912212084,5.0,329.0,460.2857142857143,3.0,3.0,2.0
373,112.0,32.23809523809524,-0.014675324675324673,0.2468431640111745,1.0,0.0,0.0,1.0,1.0,1.0
78,190.0,198.38095238095238,-0.033908427339084266,0.2319546228305317,2.0,0.0,0.0,2.357142857142857,2.0,0.0
605,555.0,1704.5714285714287,0.0015266033076404984,0.12287660184469579,3.0,495.85714285714283,0.0,3.0,3.0,1.0
706,617.0,2134.5238095238096,0.0050255444037827475,0.11689173768682974,2.0,368.04761904761904,0.0,1.4761904761904763,1.0,2.0
231,665.0,5594.761904761905,-0.03594930469806927,0.2783716990865687,1.0,663.6190476190476,55.333333333333336,2.619047619047619,3.0,0.0
377,419.0,625.2857142857143,-4.0207470548026734e-05,0.2772931831376052,0.0,0.23809523809523808,0.0,2.0,2.0,1.0
299,574.0,2131.904761904762,0.014013633425398134,0.20841822021344675,1.0,461.1904761904762,0.0,3.0,3.0,0.0
476,548.0,1710.5238095238096,-0.012592260868122934,0.3269001449800636,3.0,468.76190476190476,0.0,3.0,3.0,1.0
394,421.0,620.0952380952381,-0.017767681235173492,0.29713605921929936,2.0,0.2857142857142857,0.0,2.0,2.0,1.0
653,391.0,441.4761904761905,0.017056050998609743,0.15561580913730902,0.0,0.0,0.0,2.0,2.0,2.0
285,897.0,119358.76190476191,0.0050850589884723334,0.24147863780130402,2.0,0.0,19.428571428571427,1.0,1.0,0.0
